"","PLAYER_NAME","Type","Shot_Quantity","Made_Quantity","Percentage"
"148","Al-Farouq Aminu","Alley Oop Layup shot",1,1,1
"149","Al-Farouq Aminu","Driving Bank shot",1,0,0
"150","Al-Farouq Aminu","Driving Dunk Shot",5,4,0.8
"151","Al-Farouq Aminu","Driving Finger Roll Layup Shot",3,2,0.666666666666667
"152","Al-Farouq Aminu","Driving Hook Shot",2,1,0.5
"153","Al-Farouq Aminu","Driving Jump shot",5,2,0.4
"154","Al-Farouq Aminu","Driving Layup Shot",13,9,0.692307692307692
"155","Al-Farouq Aminu","Driving Slam Dunk Shot",2,2,1
"156","Al-Farouq Aminu","Dunk Shot",13,11,0.846153846153846
"157","Al-Farouq Aminu","Fadeaway Jump Shot",2,0,0
"158","Al-Farouq Aminu","Floating Jump shot",3,0,0
"159","Al-Farouq Aminu","Hook Shot",1,0,0
"160","Al-Farouq Aminu","Jump Bank Shot",2,0,0
"161","Al-Farouq Aminu","Jump Shot",181,46,0.25414364640884
"162","Al-Farouq Aminu","Layup Shot",57,26,0.456140350877193
"163","Al-Farouq Aminu","Pullup Bank shot",1,0,0
"164","Al-Farouq Aminu","Pullup Jump shot",4,3,0.75
"165","Al-Farouq Aminu","Putback Layup Shot",5,4,0.8
"166","Al-Farouq Aminu","Putback Slam Dunk Shot",2,2,1
"167","Al-Farouq Aminu","Reverse Layup Shot",1,1,1
"168","Al-Farouq Aminu","Reverse Slam Dunk Shot",1,1,1
"169","Al-Farouq Aminu","Running Bank shot",1,1,1
"170","Al-Farouq Aminu","Running Finger Roll Layup Shot",1,0,0
"171","Al-Farouq Aminu","Running Jump Shot",3,2,0.666666666666667
"172","Al-Farouq Aminu","Running Layup Shot",2,1,0.5
"173","Al-Farouq Aminu","Running Slam Dunk Shot",7,7,1
"174","Al-Farouq Aminu","Running Tip Shot",1,1,1
"175","Al-Farouq Aminu","Slam Dunk Shot",12,12,1
"176","Al-Farouq Aminu","Step Back Jump shot",2,0,0
"177","Al-Farouq Aminu","Tip Shot",15,3,0.2
"178","Al-Farouq Aminu","Turnaround Fadeaway shot",1,1,1
"179","Al-Farouq Aminu","Turnaround Jump Shot",2,1,0.5
"180","Alan Anderson","Driving Finger Roll Layup Shot",1,1,1
"181","Alan Anderson","Driving Jump shot",2,1,0.5
"182","Alan Anderson","Driving Layup Shot",35,25,0.714285714285714
"183","Alan Anderson","Driving Reverse Layup Shot",7,6,0.857142857142857
"184","Alan Anderson","Driving Slam Dunk Shot",2,2,1
"185","Alan Anderson","Dunk Shot",8,7,0.875
"186","Alan Anderson","Fadeaway Jump Shot",4,1,0.25
"187","Alan Anderson","Finger Roll Layup Shot",2,2,1
"188","Alan Anderson","Floating Jump shot",6,5,0.833333333333333
"189","Alan Anderson","Jump Bank Shot",10,9,0.9
"190","Alan Anderson","Jump Shot",286,96,0.335664335664336
"191","Alan Anderson","Layup Shot",36,15,0.416666666666667
"192","Alan Anderson","Pullup Jump shot",14,5,0.357142857142857
"193","Alan Anderson","Reverse Layup Shot",12,12,1
"194","Alan Anderson","Running Jump Shot",4,1,0.25
"195","Alan Anderson","Running Reverse Layup Shot",1,1,1
"196","Alan Anderson","Slam Dunk Shot",1,1,1
"197","Alan Anderson","Step Back Jump shot",5,3,0.6
"198","Alan Anderson","Turnaround Bank shot",1,1,1
"199","Alan Anderson","Turnaround Jump Shot",3,1,0.333333333333333
"200","Alec Burks","Driving Bank shot",2,2,1
"201","Alec Burks","Driving Dunk Shot",2,2,1
"202","Alec Burks","Driving Finger Roll Layup Shot",2,2,1
"203","Alec Burks","Driving Jump shot",3,1,0.333333333333333
"204","Alec Burks","Driving Layup Shot",32,19,0.59375
"205","Alec Burks","Driving Reverse Layup Shot",6,5,0.833333333333333
"206","Alec Burks","Driving Slam Dunk Shot",1,1,1
"207","Alec Burks","Dunk Shot",2,1,0.5
"208","Alec Burks","Fadeaway Bank shot",1,1,1
"209","Alec Burks","Fadeaway Jump Shot",3,1,0.333333333333333
"210","Alec Burks","Floating Jump shot",4,0,0
"211","Alec Burks","Jump Bank Shot",3,3,1
"212","Alec Burks","Jump Shot",161,49,0.304347826086957
"213","Alec Burks","Layup Shot",32,6,0.1875
"214","Alec Burks","Pullup Jump shot",12,5,0.416666666666667
"215","Alec Burks","Putback Dunk Shot",1,1,1
"216","Alec Burks","Putback Layup Shot",1,1,1
"217","Alec Burks","Reverse Layup Shot",1,0,0
"218","Alec Burks","Running Bank Hook Shot",1,1,1
"219","Alec Burks","Running Bank shot",6,6,1
"220","Alec Burks","Running Dunk Shot",1,1,1
"221","Alec Burks","Running Jump Shot",14,5,0.357142857142857
"222","Alec Burks","Running Slam Dunk Shot",1,1,1
"223","Alec Burks","Slam Dunk Shot",2,2,1
"224","Alec Burks","Step Back Jump shot",2,2,1
"225","Alec Burks","Tip Shot",3,2,0.666666666666667
"226","Alec Burks","Turnaround Jump Shot",1,1,1
"227","Alex Len","Alley Oop Dunk Shot",7,7,1
"228","Alex Len","Alley Oop Layup shot",4,2,0.5
"229","Alex Len","Driving Dunk Shot",3,3,1
"230","Alex Len","Driving Layup Shot",1,0,0
"231","Alex Len","Driving Reverse Layup Shot",2,2,1
"232","Alex Len","Dunk Shot",44,39,0.886363636363636
"233","Alex Len","Fadeaway Jump Shot",1,1,1
"234","Alex Len","Hook Shot",14,4,0.285714285714286
"235","Alex Len","Jump Bank Shot",3,1,0.333333333333333
"236","Alex Len","Jump Hook Shot",1,0,0
"237","Alex Len","Jump Shot",115,34,0.295652173913043
"238","Alex Len","Layup Shot",76,38,0.5
"239","Alex Len","Pullup Jump shot",1,0,0
"240","Alex Len","Putback Dunk Shot",6,5,0.833333333333333
"241","Alex Len","Putback Layup Shot",10,9,0.9
"242","Alex Len","Reverse Dunk Shot",1,1,1
"243","Alex Len","Reverse Layup Shot",10,5,0.5
"244","Alex Len","Running Bank shot",2,1,0.5
"245","Alex Len","Running Hook Shot",3,1,0.333333333333333
"246","Alex Len","Running Jump Shot",2,2,1
"247","Alex Len","Running Layup Shot",1,1,1
"248","Alex Len","Running Tip Shot",2,2,1
"249","Alex Len","Slam Dunk Shot",11,11,1
"250","Alex Len","Step Back Jump shot",2,0,0
"251","Alex Len","Tip Shot",16,5,0.3125
