"","SHOT_DISTANCE","Type","Shot_Quantity","Made_Quantity"
"370",11,"Turnaround Bank shot",22,14
"371",11,"Turnaround Fadeaway shot",108,61
"372",11,"Turnaround Hook Shot",43,20
"373",11,"Turnaround Jump Shot",220,93
"374",12,"Driving Bank shot",6,5
"375",12,"Driving Jump shot",29,19
"376",12,"Fadeaway Bank shot",4,3
"377",12,"Fadeaway Jump Shot",193,86
"378",12,"Floating Jump shot",143,87
"379",12,"Hook Shot",17,5
"380",12,"Jump Bank Hook Shot",1,1
"381",12,"Jump Bank Shot",65,42
"382",12,"Jump Hook Shot",16,8
"383",12,"Jump Shot",1587,521
"384",12,"Pullup Bank shot",6,5
"385",12,"Pullup Jump shot",173,105
"386",12,"Running Bank shot",33,22
"387",12,"Running Hook Shot",1,0
"388",12,"Running Jump Shot",97,46
"389",12,"Step Back Jump shot",137,66
"390",12,"Turnaround Bank Hook Shot",1,1
"391",12,"Turnaround Bank shot",16,7
"392",12,"Turnaround Fadeaway shot",137,71
"393",12,"Turnaround Hook Shot",31,16
"394",12,"Turnaround Jump Shot",225,96
"395",13,"Driving Bank shot",2,2
"396",13,"Driving Jump shot",16,9
"397",13,"Fadeaway Bank shot",8,6
"398",13,"Fadeaway Jump Shot",197,87
"399",13,"Floating Jump shot",87,43
"400",13,"Hook Shot",8,2
"401",13,"Jump Bank Shot",56,30
"402",13,"Jump Hook Shot",6,4
"403",13,"Jump Shot",1882,622
"404",13,"Pullup Bank shot",8,7
"405",13,"Pullup Jump shot",237,144
"406",13,"Running Bank shot",11,7
"407",13,"Running Hook Shot",1,0
"408",13,"Running Jump Shot",83,32
"409",13,"Step Back Jump shot",129,64
"410",13,"Turnaround Bank shot",14,10
"411",13,"Turnaround Fadeaway shot",121,56
"412",13,"Turnaround Hook Shot",9,3
"413",13,"Turnaround Jump Shot",216,93
"414",14,"Driving Bank shot",3,2
"415",14,"Driving Jump shot",8,3
"416",14,"Fadeaway Bank shot",5,4
"417",14,"Fadeaway Jump Shot",209,105
"418",14,"Floating Jump shot",40,20
"419",14,"Hook Shot",3,0
"420",14,"Jump Bank Shot",58,41
"421",14,"Jump Hook Shot",1,1
"422",14,"Jump Shot",2645,939
"423",14,"Pullup Bank shot",9,4
"424",14,"Pullup Jump shot",337,214
"425",14,"Running Bank shot",16,8
"426",14,"Running Hook Shot",1,1
"427",14,"Running Jump Shot",60,20
"428",14,"Step Back Jump shot",199,120
"429",14,"Turnaround Bank shot",5,4
"430",14,"Turnaround Fadeaway shot",120,66
"431",14,"Turnaround Hook Shot",4,1
"432",14,"Turnaround Jump Shot",201,83
"433",15,"Driving Jump shot",8,4
"434",15,"Fadeaway Bank shot",5,5
"435",15,"Fadeaway Jump Shot",210,97
"436",15,"Floating Jump shot",31,15
"437",15,"Hook Shot",4,3
"438",15,"Jump Bank Shot",52,35
"439",15,"Jump Hook Shot",1,1
"440",15,"Jump Shot",3445,1263
"441",15,"Pullup Bank shot",11,7
